time,blood_volume_L,extracellular_fluid_volume,mean_arterial_pressure_MAP,glomerular_pressure,GFR_ml_min,albumin_excretion_rate,plasma_renin_activity,dailyUGE,dailyNaExcretion,dailyWaterExcretion,i
Inf,-0.1059423,-0.066911966,-0.114547879,-0.112320168,-0.196342735,-0.260809996,0.011847224,Inf,Inf,Inf,0
Inf,-0.020514523,-0.165630314,-0.025117729,-0.023300236,-0.079059387,-0.979007228,-0.000444066,Inf,Inf,Inf,0
Inf,-0.091397359,-0.162353031,-0.109152528,-0.11831092,-0.346736724,-0.989338246,-0.085132924,Inf,Inf,Inf,0
Inf,-0.027048096,-0.146932766,-0.035480508,-0.034549202,-0.139394674,-0.877918028,0.015541918,Inf,Inf,Inf,0
Inf,-0.076593882,-0.178886307,-0.087497124,-0.088513234,-0.195431387,-0.555452738,0.001405786,Inf,Inf,Inf,0
Inf,-0.124126148,-0.042111205,-0.144680064,-0.151307841,-0.355409508,-0.910957876,0.00971253,Inf,Inf,Inf,0
Inf,-0.056118268,-0.169778015,-0.063298756,-0.062308199,-0.139571322,-0.342270434,0.002898709,Inf,Inf,Inf,0
Inf,-0.030994153,-0.123815432,-0.039384474,-0.036948632,-0.133988694,-0.601346786,0.013791059,Inf,Inf,Inf,0
Inf,-0.046895503,-0.240131832,-0.056752461,-0.055654827,-0.197289952,-0.519478546,-0.16191701,Inf,Inf,Inf,0
Inf,-0.093136044,-0.028079152,-0.11081614,-0.115542519,-0.288924633,-0.870253239,0.00068953,Inf,Inf,Inf,0
Inf,0.006964314,-0.099797955,0.007327993,0.009426042,0.01338362,0.21225117,-0.000823402,Inf,Inf,Inf,0
Inf,-0.046114892,-0.238836393,-0.054116732,-0.052364707,-0.146594518,-0.578863481,0.001479905,Inf,Inf,Inf,0
Inf,-0.105958002,-0.134881086,-0.125594671,-0.12663947,-0.348442391,-0.993221602,-0.116350179,Inf,Inf,Inf,0
Inf,-0.081466883,-0.057778791,-0.096392604,-0.101942507,-0.266400695,-0.837023883,-0.073652775,Inf,Inf,Inf,0
Inf,-0.086618238,-0.253108089,-0.098558405,-0.10421435,-0.234723029,-0.638229617,-0.181823607,Inf,Inf,Inf,0
Inf,-0.024417074,-0.164242852,-0.030586374,-0.029026435,-0.110786033,-0.925117729,0.006427902,Inf,Inf,Inf,0
Inf,-0.069805992,-0.144113393,-0.085613164,-0.085268931,-0.242536201,-0.970499734,0.015679372,Inf,Inf,Inf,0
